City,BHK,Location,Price (₹),Area (sqft),Property Type,Furnishing,Property Facing
Hyderabad,3,Bhoodevinagar Hyderabad,30000,1800 sqft,House,Furnished,North - East
Hyderabad,3,"Jubilee Hills, Hyderabad",75000,2500 sqft,Flat,Semi-Furnished,South
Hyderabad,3,"Kismatpur Road, Hyderabad",45000,2500 sqft,Flat,Semi-Furnished,West
Hyderabad,3,Nizampet Hyderabad,48000,2250 sqft,House,Semi-Furnished,East
Hyderabad,3,"Abhinandana Concorde, Puppalguda, Hyderabad",48000,1650 sqft,Flat,Furnished,
Hyderabad,3,"Attapur, Hyderabad",44000,1750 sqft,Flat,Furnished,East
Hyderabad,3,"Alkapoor Apartment, Alkapur Township, Manikonda, Outer Ring Road, Hyderabad",35000,1500 sqft,Flat,Semi-Furnished,South
Hyderabad,3,"Fortunr Icon, Banjara Hills, NH 9, Hyderabad",1.1 Lac,1950 sqft,Flat,Furnished,West
Hyderabad,1,"Yousufguda, NH 9 Hyderabad",15000,425 sqft,House,Semi-Furnished,East
Hyderabad,3,"Rajapushpa Provincia, Narsingi, Outer Ring Road, Hyderabad",70000,1700 sqft,Flat,Semi-Furnished,East
Hyderabad,2,"Uppal, NH 2 2 Hyderabad",30000,2100 sqft,House,Semi-Furnished,East
Hyderabad,3,"Prajay Megapolis, Hafeezpet, NH 9, Hyderabad",55000,1232 sqft,Flat,Furnished,East
Hyderabad,3,"Yadamma Nagar, Secunderabad Hyderabad",55000,1900 sqft,Villa,Semi-Furnished,South - East
Hyderabad,3,"Shamshabad Mamidipally Road, Hyderabad",35000,2000 sqft,Flat,Unfurnished,East
Hyderabad,3,"NSL East County, Uppal, NH 2 2, Hyderabad",75000,1899 sqft,Flat,Furnished,East
Hyderabad,2,"Prestige High Fields, Gachibowli, Hyderabad",48000,1283 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"Aparna Serenity, Kompally, Hyderabad",48000,1500 sqft,Flat,Semi-Furnished,North - East
Hyderabad,3,"Kompally, Hyderabad",30000,2400 sqft,Flat,Semi-Furnished,North - East
Hyderabad,1,Kothapet Hyderabad,13500,450 sqft,House,Semi-Furnished,East
Hyderabad,3,Ramakrishnapuram Neredmet Hyderabad,25000,1450 sqft,House,Unfurnished,North
Hyderabad,3,"Janapriya Lakefront, Sainikpuri, Hyderabad",30000,1100 sqft,Flat,Furnished,East
Hyderabad,3,Neredmet Hyderabad,35000,3000 sqft,Villa,Semi-Furnished,West
Hyderabad,4,"Hafeezpet, NH 9 Hyderabad",1.99 Cr,1800 sqft,Villa,Semi-Furnished,
Hyderabad,4,"Gachibowli, Hyderabad",2 Lac,4000 sqft,Flat,Furnished,
Hyderabad,2,"Mothi Nagar Borabanda, Hyderabad",23000,1080 sqft,Flat,Semi-Furnished,North
Hyderabad,3,Medipally Hyderabad,21000,195 sqyrd,House,Semi-Furnished,West
Hyderabad,3,"Saket, Secunderabad Hyderabad",30000,2500 sqft,Villa,Semi-Furnished,
Hyderabad,3,Neknampur Hyderabad,75000,1800 sqft,Villa,Furnished,West
Hyderabad,3,"Rajapushpa Provincia, Narsingi, Outer Ring Road, Hyderabad",68000,1620 sqft,Flat,Semi-Furnished,West
Hyderabad,3,Almasguda Hyderabad,15000,1300 sqft,House,Semi-Furnished,North
Hyderabad,3,"Sai Raghavendra Magnificent Habitat, Nallagandla Tellapur Road, Hyderabad",42000,1600 sqft,Flat,Semi-Furnished,West
Hyderabad,2,"Old Malakpet, NH 9 Hyderabad",17500,950 sqft,House,Semi-Furnished,East
Hyderabad,4,"Beverly Springs, Madhapur, Hyderabad",1.3 Lac,3750 sqft,Flat,Semi-Furnished,North - East
Hyderabad,2,"Himayatnagar, Hyderabad",27000,1100 sqft,Flat,Semi-Furnished,East
Hyderabad,4,"Kollur, Outer Ring Road Hyderabad",75000,3632 sqft,Villa,Semi-Furnished,West
Hyderabad,3,"Aparna Cyberscape, Nalagandla, Hyderabad",40000,1150 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"Kondapur, Hyderabad",6 Lac,1463 sqft,Flat,Furnished,
Hyderabad,3,"My Home Mangala, Kondapur, Hyderabad",67500,1798 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"Kondapur, Hyderabad",6 Lac,1463 sqft,Flat,Furnished,
Hyderabad,3,"My Home Mangala, Kondapur, Hyderabad",67500,1798 sqft,Flat,Semi-Furnished,East
Hyderabad,2,"Ramky One Harmony, Pragathi Nagar, Kukatpally, Hyderabad",35000,1115 sqft,Flat,Semi-Furnished,West
Hyderabad,3,"Supra Eco Homes, Kondapur, Hyderabad",39000,1156 sqft,Flat,Semi-Furnished,West
Hyderabad,3,Santosh Nagar Hyderabad,18000,265 sqyrd,House,Semi-Furnished,North - East
Hyderabad,4,"Prashasan Nagar, Hyderabad",1.2 Lac,2800 sqft,Flat,Semi-Furnished,North - West
Hyderabad,3,"Vasu Sri Sunrise, Gundlapochampally, Outer Ring Road, Hyderabad",15000,1425 sqft,Flat,Semi-Furnished,
Hyderabad,2,"RTC Cross Road, Hyderabad",20000,1000 sqft,Flat,Semi-Furnished,South
Hyderabad,4,"Gachibowli, Hyderabad",85000,2675 sqft,Flat,Semi-Furnished,West
Hyderabad,4,Nizampet Hyderabad,45000,2800 sqft,Villa,Semi-Furnished,East
Hyderabad,2,"Madhapur, Hyderabad",37000,950 sqft,Flat,Furnished,
Hyderabad,2,"Sadbhavana, Ghatkesar, NH 2 2, Hyderabad",9500,761 sqft,Flat,Semi-Furnished,South
Hyderabad,3,"Kondapur, Hyderabad",32000,1700 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"Rasun Ace Infra Elysian, Kondapur, Hyderabad",65000,2458 sqft,Flat,Semi-Furnished,West
Hyderabad,3,"Praneeth Pranav Town Square, Bachupally, Hyderabad",32000,1356 sqft,Flat,Semi-Furnished,West
Hyderabad,5,"Kollur, Outer Ring Road Hyderabad",1.1 Lac,4030 sqft,Villa,Semi-Furnished,East
Hyderabad,3,"Aparna Serene Park, Kondapur, Hyderabad",70000,1880 sqft,Flat,Semi-Furnished,West
Hyderabad,1,"Kondapur, Hyderabad",22000,550 sqft,Flat,Furnished,East
Hyderabad,3,"Ayyappa Society, Hyderabad",55000,1800 sqft,Flat,Semi-Furnished,East
Hyderabad,4,"Sonthalia Fortune Sky Villas, Power Welfare Society, Hyderabad",3.5 Lac,4000 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"Prestige Beverly Hills, Kokapet, Outer Ring Road, Hyderabad",1 Lac,1896 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"Cybercity Rainbow Vistas, Hitech City, Hyderabad",40000,1515 sqft,Flat,Semi-Furnished,East
Hyderabad,4,"Tellapur, Outer Ring Road Hyderabad",1.3 Lac,3223 sqft,Villa,Semi-Furnished,West
Hyderabad,3,"Kokapet, Outer Ring Road, Hyderabad",80000,1900 sqft,Flat,Semi-Furnished,West
Hyderabad,3,"Banjara Hills, NH 9, Hyderabad",2 Lac,3200 sqft,Flat,Furnished,West
Hyderabad,4,"Aparna Hillpark Gardenia, Chanda Nagar, Hyderabad",65000,2000 sqft,Flat,Semi-Furnished,West
Hyderabad,5,"Sumadhura Acropolis, Gachibowli, Hyderabad",1.8 Lac,4500 sqft,Flat,Semi-Furnished,
Hyderabad,2,"Phoenix Golf Edge, Gachibowli, Hyderabad",50000,1600 sqft,Flat,Unfurnished,North
Hyderabad,4,"My Home Bhooja, Hitech City, Hyderabad",2.9 Lac,4070 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"SMR Vinay Iconia, Kondapur, Hyderabad",65000,2300 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"Rajapushpa Provincia, Narsingi, Outer Ring Road, Hyderabad",75000,2335 sqft,Flat,Furnished,West
Hyderabad,4,Kondapur Hyderabad,1.3 Lac,3500 sqft,Villa,Semi-Furnished,West
Hyderabad,6,Manikonda Jagir Hyderabad,1.1 Lac,4000 sqft,Villa,Furnished,North - East
Hyderabad,3,"Ramky One Galaxia, Nalagandla, Hyderabad",45000,1860 sqft,Flat,Semi-Furnished,West
Hyderabad,3,Begumpet Hyderabad,3.6 Lac,15000 sqft,House,Furnished,
Hyderabad,3,"Prestige Tranquil, Kokapet, Outer Ring Road, Hyderabad",58000,1390 sqft,Flat,Unfurnished,East
Hyderabad,3,"Rajapushpa Provincia, Narsingi, Outer Ring Road, Hyderabad",70000,1715 sqft,Flat,Semi-Furnished,West
Hyderabad,3,"My Home Tarkshya, Kokapet, Outer Ring Road, Hyderabad",60000,2235 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"Koncept Ambience Courtyard, Manikonda Jagir, Hyderabad",57000,1621 sqft,Flat,Semi-Furnished,West
Hyderabad,2,"My Home Avatar, Narsingi, Outer Ring Road, Hyderabad",50000,1314 sqft,Flat,Furnished,East
Hyderabad,4,"Tellapur, Outer Ring Road Hyderabad",80000,3400 sqft,Villa,Unfurnished,East
Hyderabad,3,"Aditya Empress Towers, Shaikpet, Hyderabad",70000,2100 sqft,Flat,Furnished,East
Hyderabad,3,Beeramguda Ramachandrapuram Hyderabad,25000,1568 sqft,Villa,Semi-Furnished,East
Hyderabad,4,"Prestige High Fields, Gachibowli, Hyderabad",1.9 Lac,4069 sqft,Flat,Semi-Furnished,East
Hyderabad,3,Hyderabad,60000,1900 sqft,Flat,Semi-Furnished,West
Hyderabad,4,"Vikrampuri Colony, Hyderabad",60000,3288 sqft,Flat,Semi-Furnished,South
Hyderabad,3,"My Home Bhooja, Hitech City, Hyderabad",1.9 Lac,3430 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"Ramky One Galaxia, Nalagandla, Hyderabad",46000,1860 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"Rajapushpa Provincia, Narsingi, Outer Ring Road, Hyderabad",65000,2020 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"Aparna Serene Park, Kondapur, Hyderabad",70000,1200 sqft,Flat,Furnished,East
Hyderabad,3,"Rajapushpa Provincia, Narsingi, Outer Ring Road, Hyderabad",68000,1715 sqft,Flat,Semi-Furnished,West
Hyderabad,3,"My Home Jewel, Deepthisri Nagar, NH 9, Hyderabad",43000,1500 sqft,Flat,Semi-Furnished,East
Hyderabad,2,"Aparna Serene Park, Masjid Banda, Hyderabad",60000,1235 sqft,Flat,Semi-Furnished,East
Hyderabad,2,"Prestige High Fields, Gachibowli, Hyderabad",47000,1283 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"Shanta Sriram Dukes Galaxy, Banjara Hills, NH 9, Hyderabad",83000,1345 sqft,Flat,Semi-Furnished,North
Hyderabad,1,"Raghavendra Colony Kondapur, Hyderabad",19000,400 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"Poulomi Avante, Kokapet, Outer Ring Road, Hyderabad",62000,2130 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"Kondapur, Hyderabad",36000,1750 sqft,Flat,Semi-Furnished,North - East
Hyderabad,3,"Poulomi Avante, Kokapet, Outer Ring Road, Hyderabad",65000,1350 sqft,Flat,Semi-Furnished,North - East
Hyderabad,3,"Rajapushpa Provincia, Narsingi, Outer Ring Road, Hyderabad",85000,1210 sqft,Flat,Semi-Furnished,East
Hyderabad,3,"Lake View Towers, Kondapur, Hyderabad",50000,1600 sqft,Flat,Semi-Furnished,East
Bangalore,3,"L&T Raintree Boulevard, Hebbal, Bangalore",59000,985 sqft,Flat,Unfurnished,East
Bangalore,4,"Brigade Gateway, Rajajinagar, Bangalore",1.2 Lac,2000 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Prestige Notting Hill, Bannerghatta Main Road, Bangalore",65000,1400 sqft,Flat,Semi-Furnished,North - East
Bangalore,4,"Prestige Estates Shantiniketan, Whitefield, Bangalore",1.3 Lac,3122 sqft,Flat,Semi-Furnished,South - East
Bangalore,4,"Lavelle Road, Bangalore",4.5 Lac,3800 sqft,Flat,Unfurnished,East
Bangalore,3,Haralur Main Road Bangalore,45000,2100 sqft,House,Semi-Furnished,North
Bangalore,2,Hsr Layout Bangalore,25000,800 sqft,House,Semi-Furnished,North
Bangalore,3,"Prestige Falcon City, Kanakapura Road, Bangalore",68000,1200 sqft,Flat,Semi-Furnished,East
Bangalore,2,"Arvind Oasis, Tumkur Road, Bangalore",42000,872 sqft,Flat,Semi-Furnished,North
Bangalore,4,Carmelaram Bangalore,1.3 Lac,2111 sqft,Villa,Furnished,North - East
Bangalore,2,"Prestige Falcon City, Kanakapura Road, Bangalore",52000,1218 sqft,Flat,Semi-Furnished,North - East
Bangalore,3,"L And T Raintree Boulevard Phase 2, Hebbal, Bangalore",50000,1320 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Hiranandani Glen Gate, Hebbal, Bangalore",58000,1250 sqft,Flat,Unfurnished,West
Bangalore,3,"Sobha Palm Court, Kogilu, Bangalore",65000,1490 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Sobha Royal Pavilion, Hadosiddapura, Chikkakannalli, Bangalore",68900,1507 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Gopalan Aqua, Whitefield, Bangalore",75000,1344 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Sobha City Casa Paradiso, RK Hegde Nagar, Bangalore",60000,2100 sqft,Flat,Semi-Furnished,South
Bangalore,3,"Phoenix One Bangalore West, 1st Block Rajajinagar, Bangalore",2 Lac,1277 sqft,Flat,Furnished,South -West
Bangalore,2,"Akme Ballet, Doddanekundi, Kartik Nagar, Bangalore",65000,1285 sqft,Flat,Semi-Furnished,North
Bangalore,3,"Sobha HRC Pristine, Jakkur, Bangalore",75000,1500 sqft,Flat,Semi-Furnished,North - East
Bangalore,5,"Prestige White Meadows Villas, Vijayanagara, Bangalore",3.2 Lac,5900 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Saideep Hulas, Budigere, Bangalore",50000,1660 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Alpine Viva, Itpl, Whitefield, Bangalore",69400,2400 sqft,Flat,Semi-Furnished,North
Bangalore,3,"Brigade El Dorado, Huvinayakanahalli, Bangalore",22500,628 sqft,Flat,Semi-Furnished,North - West
Bangalore,1,"Bhartiya City Leela Residences, Chokkanahalli, Bangalore",1.5 Lac,900 sqft,Flat,Furnished,East
