City,BHK,Location,Price (₹),Area (sqft),Property Type,Furnishing,Property Facing
Mumbai,4,"Shree Mahavir Aditya Chsl, Shree Mahavir Aditya Chsl, Juhu, Mumbai",4.5 Lac,2100 sqft,Flat,Furnished,West
Mumbai,3,"Kabra Diamante, Kabra Diamante, Goregaon West, Mumbai",85000,975 sqft,Flat,Semi-Furnished,West
Mumbai,3,"Konark Aria Park, Konark Aria Park, Mulund East, Mumbai",76000,1031 sqft,Flat,Unfurnished,East
Mumbai,2,"Ghatkopar East, Mumbai",40000,511 sqft,Flat,Unfurnished,North - West
Mumbai,2,"Runwal Greens, Runwal Greens, Mulund West, Mumbai",53000,710 sqft,Flat,Semi-Furnished,North - West
Mumbai,4,"HDIL Metropolis, HDIL Metropolis, Andheri West, Mumbai",1.9 Lac,1650 sqft,Flat,Unfurnished,East
Mumbai,3,"Raheja Acropolis, Raheja Acropolis, Chembur, Mumbai",85000,950 sqft,Flat,Unfurnished,East
Mumbai,3,"Juhu, Mumbai",2.5 Lac,2400 sqft,Flat,Semi-Furnished,East
Mumbai,1,"Borivali West, Mumbai",30000,415 sqft,Flat,Semi-Furnished,East
Mumbai,1,"Mountain Breeze, Mountain Breeze, Powai, Mumbai",30000,350 sqft,Flat,Unfurnished,East
Mumbai,3,"Hiranandani Highland, Hiranandani Highland, Powai, Mumbai",1.3 Lac,785 sqft,Flat,Semi-Furnished,East
Mumbai,2,"Shapoorji Pallonji Vicinia, Shapoorji Pallonji Vicinia, Powai, Mumbai",86000,888 sqft,Flat,Semi-Furnished,North - East
Mumbai,2,"SD Siennaa, SD Siennaa, Kandivali East, Mumbai",53000,721 sqft,Flat,Unfurnished,West
Mumbai,3,"Wadala East, Mumbai",1.8 Lac,1330 sqft,Flat,Semi-Furnished,East
Mumbai,2,"L&T Emerald Isle Phase 2, L&T Emerald Isle Phase 2, Powai, Mumbai",85000,800 sqft,Flat,Semi-Furnished,East
Mumbai,2,"Vile Parle East, Mumbai",75000,750 sqft,Flat,Unfurnished,East
Mumbai,2,"Chandak Cornerstone, Chandak Cornerstone, Worli, Mumbai",1.4 Lac,581 sqft,Flat,Semi-Furnished,East
Mumbai,2,"L&T Emerald Isle, L&T Emerald Isle, Powai, Mumbai",80000,635 sqft,Flat,Semi-Furnished,East
Mumbai,1,"Spring Leaf, Spring Leaf, Kandivali East, Mumbai",36000,450 sqft,Flat,Furnished,East
Mumbai,4,"Neelkanth Regent, Neelkanth Regent, Ghatkopar East, Mumbai",1.3 Lac,1600 sqft,Flat,Unfurnished,East
Mumbai,4,"Kanakia Silicon Valley, Kanakia Silicon Valley, Powai, Mumbai",2.2 Lac,1565 sqft,Flat,Semi-Furnished,
Mumbai,2,"Lake Pleasant, Lake Pleasant, Powai, Mumbai",70000,725 sqft,Flat,Unfurnished,East
Mumbai,3,"Kanakia Silicon Valley, Kanakia Silicon Valley, Powai, Mumbai",1.2 Lac,986 sqft,Flat,Semi-Furnished,East
Mumbai,2,"Vasant Sagar, Vasant Sagar, Kandivali East, Mumbai",51000,620 sqft,Flat,Unfurnished,East
Mumbai,3,"Shapoorji Pallonji Vicinia, Shapoorji Pallonji Vicinia, Powai, Mumbai",1.3 Lac,1050 sqft,Flat,Furnished,East
Mumbai,3,"Sunteck City 4th Avenue, Sunteck City 4th Avenue, Goregaon West, Mumbai",1 Lac,968 sqft,Flat,Unfurnished,East
Mumbai,3,"Poseidon Apartment, Poseidon Apartment, Andheri West, Mumbai",1.3 Lac,1000 sqft,Flat,Semi-Furnished,East
Mumbai,2,"Hiranandani Highland, Hiranandani Highland, Powai, Mumbai",82000,590 sqft,Flat,Semi-Furnished,North - East
Mumbai,3,"Lodha Kiara, Lodha Kiara, Worli, Mumbai",3.5 Lac,1092 sqft,Flat,Furnished,
Mumbai,1,"Hiranandani Regent Hill, Hiranandani Regent Hill, Hiranandani Gardens, Mumbai",65000,400 sqft,Flat,Furnished,East
Mumbai,3,"Runwal Bliss, Runwal Bliss, Kanjurmarg East, Mumbai",98000,1085 sqft,Flat,Semi-Furnished,East
Mumbai,3,"Andheri West, Mumbai",1.2 Lac,950 sqft,Flat,Unfurnished,West
Mumbai,2,"Philip Tower, Philip Tower, Borivali West, Mumbai",45000,700 sqft,Flat,Semi-Furnished,North - West
Mumbai,2,"Evershine Tower, Evershine Tower, Kandivali East, Mumbai",60000,650 sqft,Flat,Semi-Furnished,North - East
Mumbai,4,"Lodha World View, Lodha World View, Adarsh Nagar Worli, Mumbai",7 Lac,2400 sqft,Flat,Unfurnished,East
Mumbai,3,"Marathon Monte South, Marathon Monte South, Byculla West, Mumbai",2.5 Lac,1684 sqft,Flat,Semi-Furnished,
Mumbai,3,"Mulund West, Mumbai",65000,912 sqft,Flat,Unfurnished,North - East
Mumbai,4,"Lodha Evoq, Lodha Evoq, Wadala, Mumbai",3 Lac,2005 sqft,Flat,Semi-Furnished,South
Mumbai,4,"Raheja Imperia I, Raheja Imperia I, Worli, Mumbai",3.5 Lac,1479 sqft,Flat,Semi-Furnished,East
Mumbai,2,"Pegasus Towers, Pegasus Towers, Andheri West, Mumbai",65000,600 sqft,Flat,Unfurnished,North - East
Mumbai,3,"Godrej Platinum, Godrej Platinum, Vikhroli East, Mumbai",1.6 Lac,820 sqft,Flat,Semi-Furnished,East
Mumbai,3,"Green Acres Apartment, Green Acres Apartment, Lokhandwala Complex Andheri West, Mumbai",2 Lac,1300 sqft,Flat,Furnished,East
Mumbai,4,"One Avighna Park, One Avighna Park, Lower Parel East, Mumbai",5 Lac,4050 sqft,Flat,Furnished,North - West
Mumbai,3,"Peninsula Salsette 27, Peninsula Salsette 27, Byculla, Mumbai",1.7 Lac,1191 sqft,Flat,Semi-Furnished,West
Mumbai,1,"Juhu Lane, Mumbai",63000,510 sqft,Flat,Unfurnished,East
Mumbai,4,"Oberoi Sky City, Oberoi Sky City, Dattapada, Mumbai",1.5 Lac,1390 sqft,Flat,Semi-Furnished,East
Mumbai,3,"Lodha World Crest, Lodha World Crest, Lower Parel, Mumbai",5 Lac,1800 sqft,Flat,Furnished,South -West
Mumbai,2,"Mayfair Hillcrest, Mayfair Hillcrest, Vikhroli West, Mumbai",65000,700 sqft,Flat,Semi-Furnished,East
Mumbai,2,"Sai Sanskar, Sai Sanskar, Chembur, Mumbai",80000,724 sqft,Flat,Semi-Furnished,East
Mumbai,3,"Kanakia Paris, Kanakia Paris, Bandra Kurla Complex, Mumbai",1.4 Lac,1420 sqft,Flat,Furnished,East
Mumbai,3,"Sugee Akanksha, Sugee Akanksha, Dadar, Mumbai",2 Lac,1050 sqft,Flat,Unfurnished,West
Mumbai,1,"Harsh Residency, Harsh Residency, Mira Road East, Mumbai",23000,457 sqft,Flat,Semi-Furnished,East
Mumbai,2,"Mahavir Nagar Kandivali West, Mumbai",60000,700 sqft,Flat,Unfurnished,North
Mumbai,4,"Lodha New Cuffe Parade, Lodha New Cuffe Parade, Wadala East, Mumbai",3.1 Lac,2200 sqft,Flat,Unfurnished,South
Mumbai,3,"Oberoi Eternia And Enigma, Oberoi Eternia And Enigma, Mulund West, Mumbai",72000,912 sqft,Flat,Semi-Furnished,North
Mumbai,1,"Ashok Nagar CHS, Ashok Nagar CHS, Ashok Nagar Borivali West, Mumbai",35000,420 sqft,Flat,Furnished,West
Mumbai,3,"Rustomjee Seasons, Rustomjee Seasons, Bandra Kurla Complex, Mumbai",2.4 Lac,1140 sqft,Flat,Furnished,East
Mumbai,3,"Pali Village, Mumbai",1.6 Lac,1700 sqft,Flat,Furnished,East
Mumbai,4,"Wadhwa Anmol Prestige, Wadhwa Anmol Prestige, Mahesh Nagar, Mumbai",1.9 Lac,1650 sqft,Flat,Furnished,West
Mumbai,2,"Matunga East, Mumbai",55000,750 sqft,Flat,Unfurnished,North
Mumbai,3,"Oberoi Sky City, Oberoi Sky City, Dattapada, Mumbai",1.1 Lac,1100 sqft,Flat,Semi-Furnished,East
Mumbai,2,Mumbai,75000,950 sqft,Flat,Semi-Furnished,East
Mumbai,4,"Lodha Altamount, Lodha Altamount, Gowalia Tank, Mumbai",18 Lac,2405 sqft,Flat,Furnished,East
Mumbai,1,"Sion East, Sion East, Sion Chunabhatti, Mumbai",29000,490 sqft,Flat,Unfurnished,East
Mumbai,3,"Oberoi Sky City, Oberoi Sky City, Borivali East, Mumbai",1.1 Lac,1132 sqft,Flat,Unfurnished,West
Mumbai,4,"Wadhwa TW Gardens, Wadhwa TW Gardens, Thakur Village, Kandivali East, Mumbai",1.4 Lac,1250 sqft,Flat,Semi-Furnished,West
Mumbai,3,"Raheja Serenity, Raheja Serenity, Thakur Village, Kandivali East, Mumbai",75000,914 sqft,Flat,Unfurnished,South - East
Mumbai,3,"Arshie Complex, Arshie Complex, Inlaks Nagar, Mumbai",1.2 Lac,1200 sqft,Flat,Furnished,North
Mumbai,3,"Oberoi Esquire, Oberoi Esquire, Goregaon East, Mumbai",2.3 Lac,989 sqft,Flat,Semi-Furnished,North - East
Mumbai,3,"Indiabulls Sky, Indiabulls Sky, Lower Parel West, Mumbai",4 Lac,1800 sqft,Flat,Furnished,East
Mumbai,3,"Wadala, Mumbai",1.7 Lac,1086 sqft,Flat,Unfurnished,East
Mumbai,4,"81 Aureate, 81 Aureate, Reclamation, Mumbai",8.4 Lac,4212 sqft,Flat,Furnished,North - East
Mumbai,4,"Raheja Imperia I, Raheja Imperia I, Worli, Mumbai",5.8 Lac,2000 sqft,Flat,Semi-Furnished,East
Mumbai,2,"Jankalyan Nagar, Mumbai",35000,555 sqft,Flat,Unfurnished,West
Mumbai,1,"Mulund East, Mumbai",26000,525 sqft,Flat,Semi-Furnished,East
Mumbai,3,"Radius 10 BKC, Radius 10 BKC, Income Tax Colony Bandra Kurla Complex, Mumbai",2.3 Lac,1150 sqft,Flat,Semi-Furnished,West
Mumbai,5,"Piramal Aranya , Piramal Aranya, Byculla, Mumbai",4.3 Lac,1900 sqft,Flat,Semi-Furnished,East
Mumbai,4,"Avighna 9, Avighna 9, Lower Parel, Mumbai",5.3 Lac,3000 sqft,Flat,Semi-Furnished,
Mumbai,2,"Gurukrupa Marina Enclave, Gurukrupa Marina Enclave, Jankalyan Nagar, Mumbai",52000,640 sqft,Flat,Unfurnished,East
Mumbai,1,"Sethia Green View, Sethia Green View, Motilal Nagar 2, Mumbai",37000,395 sqft,Flat,Unfurnished,East
Mumbai,2,"Sheth Vasant Utsav, Sheth Vasant Utsav, Thakur Village, Kandivali East, Mumbai",58000,670 sqft,Flat,Furnished,East
Mumbai,4,"Rustomjee Crown, Rustomjee Crown, Prabhadevi, Mumbai",5.5 Lac,2100 sqft,Flat,Unfurnished,West
Mumbai,3,"DLH The Park Residences, DLH The Park Residences, Andheri West, Mumbai",1.8 Lac,1116 sqft,Flat,Semi-Furnished,East
Mumbai,4,"Lodha Evoq, Lodha Evoq, Wadala, Mumbai",2.9 Lac,2000 sqft,Flat,Semi-Furnished,North
Mumbai,2,"Arham Kshitij, Arham Kshitij, Chembur, Mumbai",66000,800 sqft,Flat,Semi-Furnished,East
Mumbai,2,"Chembur East, Mumbai",95000,788 sqft,Flat,Furnished,East
Mumbai,2,"Celestia , Celestia, Mulund East, Mumbai",49999,675 sqft,Flat,Furnished,North - East
Mumbai,3,"Kanakia Silicon Valley, Kanakia Silicon Valley, Powai, Mumbai",1.8 Lac,1500 sqft,Flat,Unfurnished,North - East
Mumbai,2,"Runwal Forests, Runwal Forests, Kanjurmarg West, Mumbai",46000,471 sqft,Flat,Semi-Furnished,West
Mumbai,3,"Bombay Springs, Bombay Springs, Dadar East, Mumbai",2.8 Lac,2000 sqft,Flat,Furnished,North - East
Mumbai,2,"Ajmera Ivory Tower, Ajmera Ivory Tower, Bhakti Park, Mumbai",75000,740 sqft,Flat,Semi-Furnished,East
Mumbai,3,"Kanakia Silicon Valley, Kanakia Silicon Valley, Hiranandani Gardens, Mumbai",2 Lac,1332 sqft,Flat,Furnished,East
Mumbai,2,"Mulund West, Mumbai",50000,720 sqft,Flat,Unfurnished,East
Mumbai,4,"Union Park Chembur, Mumbai",2 Lac,2000 sqft,Flat,Unfurnished,East
Mumbai,2,"Dhaval Sunrise Orlem, Dhaval Sunrise Orlem, Malad West, Mumbai",60000,700 sqft,Flat,Unfurnished,South
Mumbai,2,"Lords Nahur, Lords Nahur, Bhandup West, Mumbai",37000,650 sqft,Flat,Semi-Furnished,North - East
Mumbai,3,"Wadhwa TW Gardens, Wadhwa TW Gardens, Kandivali East, Mumbai",75000,918 sqft,Flat,Unfurnished,East
Mumbai,1,"Hiranandani Regent Hill, Hiranandani Regent Hill, Powai, Mumbai",58000,382 sqft,Flat,Semi-Furnished,East
Mumbai,2,"Piramal Revanta, Piramal Revanta, Mulund West, Mumbai",55000,660 sqft,Flat,Unfurnished,East
Mumbai,3,"Lodha Regalia, Lodha Regalia, Hanuman Chowk, Mumbai",75000,977 sqft,Flat,Unfurnished,East
Mumbai,3,"Oberoi Sky City, Oberoi Sky City, Borivali East, Mumbai",1 Lac,1100 sqft,Flat,Semi-Furnished,East
Mumbai,1,"Sheth Irene, Sheth Irene, Ayojan Nagar, Mumbai",45000,459 sqft,Flat,Unfurnished,East
Mumbai,4,"Lodha Fiorenza, Lodha Fiorenza, Goregaon East, Mumbai",3.5 Lac,2076 sqft,Flat,Unfurnished,North - East
Mumbai,3,"Lokhandwala Octacrest, Lokhandwala Octacrest, Lokhandwala Township Kandivali East, Mumbai",75000,1200 sqft,Flat,Unfurnished,North - East
Mumbai,2,"Sector 3 Charkop, Mumbai",45000,630 sqft,Flat,Semi-Furnished,East
Mumbai,2,"Bhakti Park, Bhakti Park, Wadala, Mumbai",65000,710 sqft,Flat,Unfurnished,East
Mumbai,3,"Raheja Heights, Raheja Heights, Malad East, Mumbai",90000,719 sqft,Flat,Unfurnished,East
Mumbai,4,"Lodha World Crest, Lodha World Crest, Lower Parel West, Mumbai",14 Lac,3900 sqft,Flat,Furnished,East
Mumbai,3,"Willadel Apartment, Willadel Apartment, Bandra West, Mumbai",2.9 Lac,1228 sqft,Flat,Furnished,North - West
Mumbai,2,"Thakur Complex, Thakur Complex, Kandivali East, Mumbai",48000,860 sqft,Flat,Semi-Furnished,East
Mumbai,2,"Arkade Earth, Arkade Earth, Kanjurmarg East, Mumbai",64000,784 sqft,Flat,Semi-Furnished,East
Mumbai,2,"Karwa Kairali, Karwa Kairali, Siddharth Nagar Goregaon West, Mumbai",60000,670 sqft,Flat,Unfurnished,East
Mumbai,2,"Evershine Tower, Evershine Tower, Thakur Village, Kandivali East, Mumbai",62000,750 sqft,Flat,Furnished,East
Mumbai,1,"Dadar West, Mumbai",60000,553 sqft,Flat,Unfurnished,North - East
Mumbai,3,"Lodha Aria, Lodha Aria, Sewri West, Mumbai",1.5 Lac,1500 sqft,Flat,Furnished,East
Mumbai,2,"Oberoi Park View, Oberoi Park View, Thakur Village, Kandivali East, Mumbai",72000,801 sqft,Flat,Semi-Furnished,East
Mumbai,4,"Signature Island , Signature Island, Bandra Kurla Complex, Mumbai",14 Lac,4610 sqft,Flat,Furnished,
Mumbai,3,"Hiranandani Highland, Hiranandani Highland, Powai, Mumbai",1.8 Lac,795 sqft,Flat,Semi-Furnished,
Mumbai,1,"MIDC Industrial Estate, Mumbai",7000,250 sqft,Flat,Furnished,
Mumbai,2,"Dedhia Palatial Height, Dedhia Palatial Height, Powai, Mumbai",67000,800 sqft,Flat,Furnished,North - East
Mumbai,3,"Wadhwa Atmosphere, Wadhwa Atmosphere, Mulund West, Mumbai",64000,781 sqft,Flat,Semi-Furnished,North
Pune,5,"Yoo Pune, Yoo Pune, Magarpatta, Pune",3.2 Lac,4650 sqft,Flat,Semi-Furnished,North - East
Pune,4,"Tribeca The Ark Voyage To The Stars, Tribeca The Ark Voyage To The Stars, Mohamadwadi Settlement, Pune",1.5 Lac,2712 sqft,Flat,Unfurnished,West
Pune,3,"Kolte Patil Life Republic, Kolte Patil Life Republic, Hinjawadi, Pune",28500,1200 sqft,Flat,Semi-Furnished,East
Pune,2,"Sinhgad Road, Pune",25000,750 sqft,Flat,Unfurnished,East
Pune,2,"Shapoorji Pallonji Joyville, Shapoorji Pallonji Joyville, Hinjawadi, Pune",24000,700 sqft,Flat,Unfurnished,East
Pune,3,"Green Valley, Green Valley, Wanowrie, Pune",51000,1300 sqft,Flat,Furnished,East
Pune,3,"Camelot Royale, Camelot Royale, Viman Nagar, Pune",60000,1300 sqft,Flat,Furnished,East
Pune,3,"Duville Riverdale Residences, Duville Riverdale Residences, Kharadi, Pune",55000,1065 sqft,Flat,Semi-Furnished,East
Pune,2,"ARV Uthville, ARV Uthville, Kharadi, Pune",33000,800 sqft,Flat,Semi-Furnished,East
Pune,2,"Kolte Patil Life Republic, Kolte Patil Life Republic, Hinjawadi, Pune",23000,830 sqft,Flat,Unfurnished,East
Pune,1,"Paranjape Blue Ridge, Paranjape Blue Ridge, Hinjawadi, Pune",22000,545 sqft,Flat,Unfurnished,East
Pune,2,"Megapolis Sparklet, Megapolis Sparklet, Hinjawadi, Pune",25000,760 sqft,Flat,Unfurnished,East
Pune,1,"Kolte Patil Life Republic, Kolte Patil Life Republic, Hinjawadi, Pune",17000,451 sqft,Flat,Semi-Furnished,East
Pune,2,"Kolte Patil Life Republic, Kolte Patil Life Republic, Hinjawadi, Pune",22400,814 sqft,Flat,Unfurnished,North - East
Pune,2,"Fortaleza, Fortaleza, Kalyani Nagar, Pune",45000,1250 sqft,Flat,Furnished,East
Pune,3,"Kumar Picasso, Kumar Picasso, Amanora Park Town, Pune",44500,1170 sqft,Flat,Furnished,East
Pune,3,"Purple Cloud 9, NIBM Road Pune",58000,2800 sqft,Villa,Furnished,East
Pune,3,"Kalpataru Jade Residences, Kalpataru Jade Residences, Baner, Pune",80000,1750 sqft,Flat,Unfurnished,East
Pune,4,"Pride Purple Park Grandeur, Pride Purple Park Grandeur, Baner, Pune",1.6 Lac,2350 sqft,Flat,Semi-Furnished,East
Pune,3,"Bhandari 43 Privet Drive, Bhandari 43 Privet Drive, Balewadi, Pune",75000,1400 sqft,Flat,Unfurnished,East
Pune,2,"Pantheon Acorn Park, Pantheon Acorn Park, Wakad, Pune",27000,800 sqft,Flat,Unfurnished,East
Pune,2,"Meera Nagar Terrace CHS, Meera Nagar Terrace CHS, Koregaon Park, Pune",45000,1050 sqft,Flat,Furnished,East
Pune,3,"Kolte Patil Elburz Hills And Dales, Kolte Patil Elburz Hills And Dales, NIBM Road, Pune",35000,1300 sqft,Flat,Unfurnished,East
Pune,2,"Shapoorji Joyville Hadapsar Annexe, Shapoorji Joyville Hadapsar Annexe, Hadapsar, Pune",25000,725 sqft,Flat,Unfurnished,East
Pune,2,"Sham Sharan, Sham Sharan, Koregaon Park, Pune",80000,960 sqft,Flat,Furnished,East
Pune,3,"Tribeca The Ark Voyage To The Stars, Tribeca The Ark Voyage To The Stars, NIBM Road, Pune",1.3 Lac,2266 sqft,Flat,Furnished,East
Pune,4,"Nyati Highland Eastern Foundation, NIBM Road Pune",75000,2700 sqft,Villa,Unfurnished,East
Pune,2,"Nandan Inspera, Nandan Inspera, Wakad, Pune",28000,1050 sqft,Flat,Semi-Furnished,East
Pune,2,"Nyati Exuberance I, Nyati Exuberance I, Undri, Pune",19999,800 sqft,Flat,Unfurnished,East
Pune,2,"Megapolis Sangria Towers, Megapolis Sangria Towers, Hinjawadi, Pune",36000,1000 sqft,Flat,Furnished,North
Pune,3,"Marvel Cerise, Marvel Cerise, Kharadi, Pune",57000,1765 sqft,Flat,Unfurnished,East
Pune,2,"Saheel ITrend Life Plus, Saheel ITrend Life Plus, Wakad, Pune",27000,795 sqft,Flat,Semi-Furnished,East
Pune,2,Baner Pune,39999,1570 sqft,Villa,Semi-Furnished,East
Pune,3,"Prabhat, Prabhat, Prabhat Road, Pune",77000,1300 sqft,Flat,Unfurnished,East
Pune,2,"Mantra Insignia, Mantra Insignia, Keshav Nagar Mundhwa, Pune",27000,726 sqft,Flat,Semi-Furnished,East
Pune,3,"Fortaleza, Fortaleza, Kalyani Nagar, Pune",65000,1500 sqft,Flat,Furnished,South
Pune,2,"Three Jewels, Three Jewels, Katraj Kondhwa Road, Pune",25000,850 sqft,Flat,Furnished,East
Pune,2,"Nanded Asawari, Nanded Asawari, Sinhgad Road, Pune",25000,778 sqft,Flat,Semi-Furnished,North - East
Pune,3,"Paranjape Blue Ridge, Paranjape Blue Ridge, Hinjawadi, Pune",47000,1330 sqft,Flat,Semi-Furnished,East
Pune,3,"Duville Riverdale Residences, Duville Riverdale Residences, Kharadi, Pune",52000,1205 sqft,Flat,Semi-Furnished,East
Pune,2,"Bramha Sun City Phase 2, Bramha Sun City Phase 2, Kalyani Nagar, Pune",42000,1000 sqft,Flat,Furnished,West
Pune,2,"Prime Serenity, Prime Serenity, Punawale, Pimpri Chinchwad, Pune",20000,731 sqft,Flat,Semi-Furnished,
Pune,1,"Rahul Eastview, Rahul Eastview, Hadapsar, Pune",15000,460 sqft,Flat,Unfurnished,East
Pune,1,"Mundhwa, Pune",17000,450 sqft,Flat,Unfurnished,East
Pune,2,"Amanora Adreno Towers, Amanora Adreno Towers, Amanora Park Town, Pune",38000,947 sqft,Flat,Unfurnished,North
Pune,2,"Rama Metro Life Maxima Residences, Rama Metro Life Maxima Residences, Tathawade Pimpri Chinchwad, Pune",26000,800 sqft,Flat,Unfurnished,East
Pune,3,"Dorabjee Paradise, Dorabjee Paradise, Mohamadwadi Settlement, Pune",35000,1520 sqft,Flat,Unfurnished,East
Pune,1,"Paranjape Blue Ridge, Paranjape Blue Ridge, Blue Ridge Town Pune, Pune",20000,572 sqft,Flat,Unfurnished,
Pune,2,"Duville Riverdale Heights, Duville Riverdale Heights, Kharadi, Pune",50000,940 sqft,Flat,Semi-Furnished,West
Pune,4,"Lodha Belmondo Estancia B, Lodha Belmondo Estancia B, Gahunje, Pune",1.3 Lac,2500 sqft,Flat,Furnished,East
Pune,3,"Majestique Marbella, Majestique Marbella, Choudhari Wasti, Pune",35000,824 sqft,Flat,Semi-Furnished,East
Pune,2,"Unique K City, Unique K City, Mundhwa, Pune",30000,1020 sqft,Flat,Semi-Furnished,East
Pune,3,"Shagun Nisarg Bavdhan, Bavdhan Pune",70000,2000 sqft,Villa,Furnished,East
Pune,2,"Shapoorji Pallonji Sensorium, Shapoorji Pallonji Sensorium, Hinjawadi, Pune",26000,800 sqft,Flat,Semi-Furnished,East
Pune,1,"Paranjape Blue Ridge, Paranjape Blue Ridge, Hinjawadi, Pune",24000,605 sqft,Flat,Unfurnished,East
Pune,4,"CLOVER Verde, CLOVER Verde, Kalyani Nagar, Pune",2.6 Lac,3250 sqft,Flat,Unfurnished,South - East
Pune,2,"Madhav Baug, Kothrud, Pune",37000,700 sqft,Flat,Semi-Furnished,East
Pune,4,"Naiknavare Swapnashilp, Erandwane Pune",1.2 Lac,2500 sqft,Villa,Semi-Furnished,East
Pune,4,"Panchshil One North, Panchshil One North, Magarpatta, Pune",2.1 Lac,2550 sqft,Flat,Semi-Furnished,East
Pune,2,"Matrix Infra Alfa 1, Matrix Infra Alfa 1, Kharadi, Pune",30000,550 sqft,Flat,Semi-Furnished,East
Pune,2,"Sancheti Mount N Glory , Sancheti Mount N Glory, Kharadi, Pune",43000,850 sqft,Flat,Furnished,East
Pune,3,"Clover Highlands, Clover Highlands, Kondhwa, Pune",48000,1670 sqft,Flat,Unfurnished,East
Pune,2,"Goel Ganga Platino, Goel Ganga Platino, Kharadi, Pune",47000,990 sqft,Flat,Unfurnished,East
Pune,2,"Phase 3 Hinjewadi Rajiv Gandhi Infotech Park, Pune",20050,400 sqft,Flat,Furnished,East
Pune,2,"Ozone Villas, Ozone Villas, Wageshwar Nagar, Pune",30000,1050 sqft,Flat,Unfurnished,East
Pune,3,"VTP Urban Space, VTP Urban Space, Palace Orchard, Mohammed Wadi, Pune",47000,2200 sqft,Flat,Semi-Furnished,East
Pune,3,"Lunkad Sky Vie, Lunkad Sky Vie, Viman Nagar, Pune",85000,1690 sqft,Flat,Furnished,East
Pune,3,"Avalon Elysium, Avalon Elysium, Wakad, Pune",48000,2000 sqft,Flat,Furnished,East
Pune,2,"Shantiban Apartment, Shantiban Apartment, Ganga Dham, Pune",27000,900 sqft,Flat,Furnished,East
Pune,3,"New Front Isabella, New Front Isabella, Lullanagar, Pune",50000,2400 sqft,Flat,Semi-Furnished,East
Pune,4,"AWHO Vijay Vihar, AWHO Vijay Vihar, Wagholi, Pune",35000,1720 sqft,Flat,Semi-Furnished,South
Pune,3,"Kondhwa, Pune",35000,1560 sqft,Flat,Semi-Furnished,East
Pune,2,"Gagan Adira, Gagan Adira, Wagholi, Pune",27000,900 sqft,Flat,Semi-Furnished,East
Pune,2,"Navi Peth, Sadashiv Peth, Pune",50000,800 sqft,Flat,Furnished,East
Pune,1,"Bavdhan, Pune",19000,450 sqft,Flat,Unfurnished,East
Pune,3,"Rachana Bella Casa II, Rachana Bella Casa II, Baner, Pune",48000,1100 sqft,Flat,Furnished,East
Pune,3,"Megapolis Sangria Towers, Megapolis Sangria Towers, Phase 3 Hinjewadi Rajiv Gandhi Infotech Park, Pune",46000,1215 sqft,Flat,Furnished,West
Pune,3,"Marvel Zephyr, Marvel Zephyr, EON Free Zone, Kharadi, Pune",75000,2056 sqft,Flat,Unfurnished,East
Pune,1,"Lunkad Daffodils, Lunkad Daffodils, Viman Nagar, Pune",28000,400 sqft,Flat,Unfurnished,East
Pune,2,"Kohinoor Sapphire, Kohinoor Sapphire, Tathawade Pimpri Chinchwad, Pune",23000,782 sqft,Flat,Semi-Furnished,East
Pune,3,"Lodha Bella Vita, Lodha Bella Vita, NIBM Road, Pune",51000,1550 sqft,Flat,Semi-Furnished,East
Pune,3,"Mohan Nagar CHS, Mohan Nagar CHS, Baner, Pune",36000,1200 sqft,Flat,Unfurnished,East
Pune,4,"Vascon Paradise, Vascon Paradise, Laxman Nagar Baner, Pune",85000,1900 sqft,Flat,Unfurnished,East
Pune,3,"Bhandari Savannah, Bhandari Savannah, Wagholi, Pune",28000,1378 sqft,Flat,Semi-Furnished,East
Pune,2,"Phase 2 Hinjewadi Rajiv Gandhi Infotech Park, Pune",26000,750 sqft,Flat,Furnished,North - East
Pune,5,Paud Pune,50000,3500 sqft,Farm,Unfurnished,East
Pune,2,"Naiknavare Avon Vista, Naiknavare Avon Vista, Balewadi, Pune",32000,850 sqft,Flat,Semi-Furnished,
Pune,2,"Lotus Court, Lotus Court, Kothrud, Pune",35000,1050 sqft,Flat,Unfurnished,North
Pune,3,"Unique K City, Unique K City, Mundhwa, Pune",38000,1003 sqft,Flat,Unfurnished,West
Pune,3,"Prakriti Society, Prakriti Society, Baner-Balewadi Road, Pune",40000,1200 sqft,Flat,Semi-Furnished,East
Pune,2,"Marvel Cerise, Marvel Cerise, Kharadi, Pune",48000,1090 sqft,Flat,Semi-Furnished,East
Pune,2,"Saptasajai Angan, Saptasajai Angan, Loni Kalbhor, Pune",25000,700 sqft,Flat,Semi-Furnished,
Pune,2,"Laxminarayan Nagar Society, Laxminarayan Nagar Society, Karvenagar, Pune",28000,900 sqft,Flat,Furnished,West
Pune,2,"Kolte Patil Life Republic, Kolte Patil Life Republic, Hinjawadi, Pune",25000,650 sqft,Flat,Semi-Furnished,East
Pune,3,"Everglade, Everglade, Kharadi, Pune",60000,1100 sqft,Flat,Furnished,East
Pune,5,Kalyani Nagar Pune,3.5 Lac,4500 sqft,Villa,Furnished,North
Pune,3,"Megh Malhar & Raga, Megh Malhar & Raga, Shindenagar Bavdhan, Pune",34000,1200 sqft,Flat,Unfurnished,North
Pune,2,"Amanora Gateway Towers 98 And 99 , Amanora Gateway Towers 98 And 99, Hadapsar, Pune",56000,910 sqft,Flat,Semi-Furnished,East
